"R0","N","schedule","p_free_20y","p_free_50y"
1.2,5,"No vaccination (status quo)",0.935,0.99
1.35,5,"No vaccination (status quo)",0.91,1
1.5,5,"No vaccination (status quo)",0.755,0.97
1.75,5,"No vaccination (status quo)",0.795,0.995
2,5,"No vaccination (status quo)",0.68,0.97
2.5,5,"No vaccination (status quo)",0.59,0.89
3,5,"No vaccination (status quo)",0.58,0.9
4,5,"No vaccination (status quo)",0.39,0.8
5,5,"No vaccination (status quo)",0.335,0.675
6.5,5,"No vaccination (status quo)",0.28,0.56
8,5,"No vaccination (status quo)",0.245,0.525
1.2,8,"No vaccination (status quo)",0.9,0.995
1.35,8,"No vaccination (status quo)",0.825,0.975
1.5,8,"No vaccination (status quo)",0.68,0.925
1.75,8,"No vaccination (status quo)",0.575,0.88
2,8,"No vaccination (status quo)",0.48,0.835
2.5,8,"No vaccination (status quo)",0.37,0.65
3,8,"No vaccination (status quo)",0.235,0.48
4,8,"No vaccination (status quo)",0.125,0.31
5,8,"No vaccination (status quo)",0.12,0.245
6.5,8,"No vaccination (status quo)",0.09,0.19
8,8,"No vaccination (status quo)",0.055,0.125
1.2,12,"No vaccination (status quo)",0.775,0.96
1.35,12,"No vaccination (status quo)",0.61,0.905
1.5,12,"No vaccination (status quo)",0.45,0.825
1.75,12,"No vaccination (status quo)",0.4,0.755
2,12,"No vaccination (status quo)",0.265,0.6
2.5,12,"No vaccination (status quo)",0.105,0.325
3,12,"No vaccination (status quo)",0.075,0.24
4,12,"No vaccination (status quo)",0.035,0.095
5,12,"No vaccination (status quo)",0.015,0.025
6.5,12,"No vaccination (status quo)",0.01,0.02
8,12,"No vaccination (status quo)",0,0.005
1.2,20,"No vaccination (status quo)",0.545,0.855
1.35,20,"No vaccination (status quo)",0.415,0.72
1.5,20,"No vaccination (status quo)",0.205,0.565
1.75,20,"No vaccination (status quo)",0.065,0.33
2,20,"No vaccination (status quo)",0.035,0.2
2.5,20,"No vaccination (status quo)",0.015,0.08
3,20,"No vaccination (status quo)",0,0.005
4,20,"No vaccination (status quo)",0,0
5,20,"No vaccination (status quo)",0,0
6.5,20,"No vaccination (status quo)",0,0
8,20,"No vaccination (status quo)",0,0
1.2,35,"No vaccination (status quo)",0.385,0.71
1.35,35,"No vaccination (status quo)",0.165,0.475
1.5,35,"No vaccination (status quo)",0.07,0.265
1.75,35,"No vaccination (status quo)",0.01,0.06
2,35,"No vaccination (status quo)",0,0.02
2.5,35,"No vaccination (status quo)",0,0
3,35,"No vaccination (status quo)",0,0
4,35,"No vaccination (status quo)",0,0
5,35,"No vaccination (status quo)",0,0
6.5,35,"No vaccination (status quo)",0,0
8,35,"No vaccination (status quo)",0,0
1.2,50,"No vaccination (status quo)",0.175,0.52
1.35,50,"No vaccination (status quo)",0.08,0.275
1.5,50,"No vaccination (status quo)",0.025,0.07
1.75,50,"No vaccination (status quo)",0,0.02
2,50,"No vaccination (status quo)",0,0.005
2.5,50,"No vaccination (status quo)",0,0
3,50,"No vaccination (status quo)",0,0
4,50,"No vaccination (status quo)",0,0
5,50,"No vaccination (status quo)",0,0
6.5,50,"No vaccination (status quo)",0,0
8,50,"No vaccination (status quo)",0,0
1.2,75,"No vaccination (status quo)",0.1,0.355
1.35,75,"No vaccination (status quo)",0.015,0.11
1.5,75,"No vaccination (status quo)",0.005,0.02
1.75,75,"No vaccination (status quo)",0,0
2,75,"No vaccination (status quo)",0,0
2.5,75,"No vaccination (status quo)",0,0
3,75,"No vaccination (status quo)",0,0
4,75,"No vaccination (status quo)",0,0
5,75,"No vaccination (status quo)",0,0
6.5,75,"No vaccination (status quo)",0,0
8,75,"No vaccination (status quo)",0,0
1.2,100,"No vaccination (status quo)",0.045,0.225
1.35,100,"No vaccination (status quo)",0.005,0.02
1.5,100,"No vaccination (status quo)",0,0
1.75,100,"No vaccination (status quo)",0,0
2,100,"No vaccination (status quo)",0,0
2.5,100,"No vaccination (status quo)",0,0
3,100,"No vaccination (status quo)",0,0
4,100,"No vaccination (status quo)",0,0
5,100,"No vaccination (status quo)",0,0
6.5,100,"No vaccination (status quo)",0,0
8,100,"No vaccination (status quo)",0,0
1.2,150,"No vaccination (status quo)",0,0.1
1.35,150,"No vaccination (status quo)",0,0.005
1.5,150,"No vaccination (status quo)",0,0
1.75,150,"No vaccination (status quo)",0,0
2,150,"No vaccination (status quo)",0,0
2.5,150,"No vaccination (status quo)",0,0
3,150,"No vaccination (status quo)",0,0
4,150,"No vaccination (status quo)",0,0
5,150,"No vaccination (status quo)",0,0
6.5,150,"No vaccination (status quo)",0,0
8,150,"No vaccination (status quo)",0,0
1.2,200,"No vaccination (status quo)",0,0.015
1.35,200,"No vaccination (status quo)",0,0
1.5,200,"No vaccination (status quo)",0,0
1.75,200,"No vaccination (status quo)",0,0
2,200,"No vaccination (status quo)",0,0
2.5,200,"No vaccination (status quo)",0,0
3,200,"No vaccination (status quo)",0,0
4,200,"No vaccination (status quo)",0,0
5,200,"No vaccination (status quo)",0,0
6.5,200,"No vaccination (status quo)",0,0
8,200,"No vaccination (status quo)",0,0
1.2,5,"Lifelong immunity, calves only (paper assumption)",0.985,1
1.35,5,"Lifelong immunity, calves only (paper assumption)",0.965,1
