group,parameter,symbol,unit,value,low,high,country,source,notes
programme cost,BCG dose price,c_dose,currency per dose,,,,,,"Ex-works or landed price per dose; state which."
programme cost,cold chain and delivery per dose,c_deliv,currency per dose,,,,,,"Transport, storage and wastage spread over doses delivered."
programme cost,labour per animal vaccinated,c_lab,currency per animal,,,,,,"Farmer or paravet time; zero if bundled with an existing contact such as FMD vaccination."
programme cost,campaign fixed cost per herd visit,c_visit,currency per visit,,,,,,"Travel and organisation per visit, independent of herd size; multiplied by visits per year."
programme cost,DIVA test per animal,c_diva,currency per test,,,,,,"Only where testing continues alongside vaccination."
programme cost,DIVA tests per animal per year,n_diva,tests per year,,,,,,"Zero in settings without testing."
disease cost,milk yield loss per infected cow,L_milk,fraction of annual yield,,,,,,"Relative loss in infected versus uninfected cows; use a published estimate for the setting or a range."
disease cost,annual milk value per cow,V_milk,currency per cow-year,,,,,,"Yield times farm-gate price."
disease cost,carcass condemnation loss per slaughtered infected animal,L_carc,currency per animal,,,,,,"Partial or whole condemnation; zero where no inspection."
disease cost,excess mortality or premature culling of infected animals,m_excess,per infected animal-year,,,,,,"Set to zero to match the Fromsa model (no excess removal)."
disease cost,replacement cost per animal removed,c_repl,currency per animal,,,,,,"Purchase or rearing cost of a replacement heifer."
disease cost,fertility or calving interval loss per infected cow,L_fert,currency per cow-year,,,,,,"Optional; leave blank if not quantified."
disease cost,trade or movement restriction loss per herd-year with infection,L_trade,currency per herd-year,,,,,,"Zero where no restrictions apply."
zoonotic,human bTB cases per infected cow-year,z_human,cases per cow-year,,,,,,"Optional; needs a transmission estimate, likely unavailable. Leave blank rather than guess."
zoonotic,cost per human case,c_human,currency per case,,,,,,"Treatment cost or a DALY value; state which."
economic,discount rate,r,per year,,,,,,"3% is a common public-health default; state the choice."
economic,time horizon,T,years,,,,,,"20 and 50 years are the horizons used in the model outputs."
economic,currency and price year,,text,,,,,,"For example USD 2025."
herd,adult turnover,u,per year,,,,,,"From archetypes.csv."
herd,herd size,N,animals,,,,,,"From archetypes.csv."
herd,within-herd R0,R0,dimensionless,,,,,,"From archetypes.csv or the conceptual grid."
herd,infected purchases per 100 head per year,imp,animals per 100 head-year,,,,,,"Purchases per year times the prevalence in the source population."
