"N","R0","plateau","yr_half_of_fall","yr_90_of_fall","yr_half_free"
10,1.5,0.0716261660591472,10.5232876712329,31.5643835616438,10.358904109589
10,2,0.0972534621822644,10.8520547945205,36.1671232876712,16.2767123287671
10,3,0.149668716313484,11.5095890410959,36.6602739726027,24.0027397260274
10,5,0.305367558531472,10.1945205479452,39.4547945205479,41.7561643835616
20,1.5,0.0794505146497785,11.0164383561644,33.7013698630137,18.9068493150685
20,2,0.127270732884919,9.86575342465753,35.0164383561644,27.2904109589041
20,3,0.319637059929388,7.4,36.9890410958904,NA
20,5,0.575721406107716,3.61917808219178,29.9205479452055,NA
50,1.5,0.0886886737464976,10.5232876712329,35.0164383561644,33.372602739726
50,2,0.259991309781084,7.56438356164384,32.8794520547945,NA
50,3,0.533258648429089,3.94794520547945,13.1534246575342,NA
50,5,0.662721337239726,2.63287671232877,8.22191780821918,NA
100,1.5,0.126521241974506,9.37260273972603,33.8657534246575,NA
100,2,0.351859066324459,6.24931506849315,24.9890410958904,NA
100,3,0.564409564433356,3.61917808219178,10.8520547945205,NA
100,5,0.670764490780505,2.46849315068493,8.05753424657534,NA
200,1.5,0.156862227776268,9.04383561643836,32.5506849315069,NA
200,2,0.392569386458912,5.75616438356164,19.2356164383562,NA
200,3,0.57598024405143,3.45479452054795,10.5232876712329,NA
200,5,0.67431508838461,2.46849315068493,7.56438356164384,NA
