"R0","N","yr","p_free_vx"
1.5,10,0.00273972602739726,0
1.5,10,0.167123287671233,0
1.5,10,0.331506849315069,0.001
1.5,10,0.495890410958904,0.003
1.5,10,0.66027397260274,0.0035
1.5,10,0.824657534246575,0.006
1.5,10,0.989041095890411,0.009
1.5,10,1.15342465753425,0.0115
1.5,10,1.31780821917808,0.016
1.5,10,1.48219178082192,0.0205
1.5,10,1.64657534246575,0.026
1.5,10,1.81095890410959,0.031
1.5,10,1.97534246575342,0.0385
1.5,10,2.13972602739726,0.0465
1.5,10,2.3041095890411,0.051
1.5,10,2.46849315068493,0.0595
1.5,10,2.63287671232877,0.0705
1.5,10,2.7972602739726,0.0785
1.5,10,2.96164383561644,0.0865
1.5,10,3.12602739726027,0.0955
1.5,10,3.29041095890411,0.1075
1.5,10,3.45479452054795,0.118
1.5,10,3.61917808219178,0.1295
1.5,10,3.78356164383562,0.137
1.5,10,3.94794520547945,0.15
1.5,10,4.11232876712329,0.1605
1.5,10,4.27671232876712,0.1705
1.5,10,4.44109589041096,0.18
1.5,10,4.60547945205479,0.1855
1.5,10,4.76986301369863,0.2005
1.5,10,4.93424657534247,0.211
1.5,10,5.0986301369863,0.221
1.5,10,5.26301369863014,0.2285
1.5,10,5.42739726027397,0.2395
1.5,10,5.59178082191781,0.25
1.5,10,5.75616438356164,0.259
1.5,10,5.92054794520548,0.2705
1.5,10,6.08493150684932,0.277
1.5,10,6.24931506849315,0.2865
1.5,10,6.41369863013699,0.292
1.5,10,6.57808219178082,0.3025
1.5,10,6.74246575342466,0.317
1.5,10,6.90684931506849,0.331
1.5,10,7.07123287671233,0.3445
1.5,10,7.23561643835616,0.357
1.5,10,7.4,0.369
1.5,10,7.56438356164384,0.377
1.5,10,7.72876712328767,0.3845
1.5,10,7.89315068493151,0.3925
1.5,10,8.05753424657534,0.3995
1.5,10,8.22191780821918,0.408
1.5,10,8.38630136986301,0.4165
1.5,10,8.55068493150685,0.4245
1.5,10,8.71506849315069,0.4305
1.5,10,8.87945205479452,0.438
1.5,10,9.04383561643836,0.446
1.5,10,9.20821917808219,0.454
1.5,10,9.37260273972603,0.460730365182591
1.5,10,9.53698630136986,0.465232616308154
1.5,10,9.7013698630137,0.472736368184092
1.5,10,9.86575342465753,0.483241620810405
1.5,10,10.0301369863014,0.492
1.5,10,10.1945205479452,0.498
1.5,10,10.358904109589,0.507
1.5,10,10.5232876712329,0.5145
1.5,10,10.6876712328767,0.521
1.5,10,10.8520547945205,0.5275
1.5,10,11.0164383561644,0.537
1.5,10,11.1808219178082,0.545
1.5,10,11.3452054794521,0.5515
1.5,10,11.5095890410959,0.5625
1.5,10,11.6739726027397,0.5695
1.5,10,11.8383561643836,0.5775
1.5,10,12.0027397260274,0.583
