"R0","N","schedule","p_free_20","p_free_50","se_free_20","se_free_50","p_extinct","se_mp20","se_mp50","mp20","mp50","reps"
1.2,5,"18-month immunity, annual whole-herd booster",0.9835,1,0.00284848644019942,0,0.1115,0.00166649094941996,0.000725345100126711,0.0595939618714695,0.0248239630635372,2000
1.2,5,"18-month immunity, calves only",0.9625,0.9995,0.00424816136699161,0.000499874984371065,0.113,0.00231524736806311,0.00111844147729335,0.0825355136117838,0.0350981782568735,2000
1.2,5,"18-month immunity, six-monthly whole-herd booster",0.985,1,0.00271799558498538,0,0.126,0.001569121154397,0.000677129408643847,0.0563068764376699,0.0233305895864623,2000
1.2,5,"Lifelong immunity, calves only (paper assumption)",0.9785,1,0.00324328151722911,0,0.1035,0.00194511501394031,0.000803190789089081,0.0708382354162163,0.0286406763369518,2000
1.2,5,"No vaccination (status quo)",0.929,0.996,0.0057427780733718,0.00141138230115019,0.112,0.00310639482062482,0.00173806406440642,0.103425232805356,0.046971690503646,2000
1.2,10,"18-month immunity, annual whole-herd booster",0.963,1,0.00422084114839685,0,5e-04,0.00112024951085046,0.000471136275866196,0.0615155535954134,0.0249758820041737,2000
1.2,10,"18-month immunity, calves only",0.888,0.997,0.00705180827873248,0.00122290637417588,0.0025,0.00184669276783213,0.000992266437889236,0.0914002895728702,0.0408403755584128,2000
1.2,10,"18-month immunity, six-monthly whole-herd booster",0.962,1,0.00427527776875375,0,0,0.00106542633180908,0.000468650365012832,0.059186347265714,0.0243226999530317,2000
1.2,10,"Lifelong immunity, calves only (paper assumption)",0.9525,1,0.00475624589355933,0,0.003,0.00135148167444205,0.000574694800048609,0.070926980959608,0.0289114140744362,2000
1.2,10,"No vaccination (status quo)",0.7745,0.9795,0.00934477795348825,0.00316857617866448,0.0025,0.00271183981288406,0.00181882859462993,0.126413263594176,0.0660771899147381,2000
1.2,20,"18-month immunity, annual whole-herd booster",0.9475,1,0.00498717104178311,0,0,0.000697806136988143,0.000293908521741869,0.0478624913809783,0.0194391211822525,2000
1.2,20,"18-month immunity, calves only",0.784,0.989,0.00920173896608679,0.00233227356885937,0,0.00144124553032294,0.000829729167113792,0.0803004835514453,0.0374900629450094,2000
1.2,20,"18-month immunity, six-monthly whole-herd booster",0.9615,1,0.00430219420761081,0,0,0.000673789838033334,0.000281270123711719,0.0457342037691751,0.0185183825790459,2000
1.2,20,"Lifelong immunity, calves only (paper assumption)",0.923,1,0.00596116599332714,0,0,0.000898308118461836,0.000382772165044153,0.0588844575918844,0.024039014840381,2000
1.2,20,"No vaccination (status quo)",0.616,0.8995,0.0108752930994985,0.00672308522926789,0,0.0021748493554605,0.00182150659301877,0.119859051819441,0.074537717386338,2000
1.2,50,"18-month immunity, annual whole-herd booster",0.872,1,0.0074704752191544,0,0,0.000452006087790896,0.000191115562871271,0.0501321820897389,0.0203790056354287,2000
1.2,50,"18-month immunity, calves only",0.486,0.9455,0.0111759563349183,0.00507591124823908,0,0.000994975040200379,0.000657530624740046,0.0896350093917198,0.0446886293490783,2000
1.2,50,"18-month immunity, six-monthly whole-herd booster",0.859,0.9995,0.0077819984579798,0.000499874984371065,0,0.000437126924878069,0.000186378404440242,0.0482953574109043,0.0196387568061325,2000
1.2,50,"Lifelong immunity, calves only (paper assumption)",0.817,1,0.00864612630025724,0,0,0.000562037197371182,0.000239287425364996,0.0612390995135385,0.0249791126312672,2000
1.2,50,"No vaccination (status quo)",0.226,0.564,0.00935211206091971,0.0110883722881224,0,0.00162290592605279,0.00172449264146464,0.146019020425168,0.114365221967863,2000
1.2,100,"18-month immunity, annual whole-herd booster",0.722,0.9995,0.0100178840081127,0.000499874984371065,0,0.000326429561327432,0.000140202891918317,0.05374540218883,0.0218901458293574,2000
1.2,100,"18-month immunity, calves only",0.218,0.851,0.00923244279700665,0.00796238029737339,0,0.000725955119060021,0.000534445817167448,0.0962444776329738,0.0497402360471763,2000
1.2,100,"18-month immunity, six-monthly whole-herd booster",0.75,1,0.00968245836551854,0,0,0.000318029736231587,0.000135553269857758,0.050943050484644,0.0207139132743794,2000
1.2,100,"Lifelong immunity, calves only (paper assumption)",0.582,0.999,0.0110289618731774,0.000706753139363385,0,0.000428190744351047,0.000182670512705467,0.0666020284416835,0.0272824455237696,2000
1.2,100,"No vaccination (status quo)",0.0335,0.187,0.00402354010791492,0.00871868682772813,0,0.00117105558547128,0.00130678198588579,0.160809008391001,0.143229302465951,2000
