"parameter","value","herd","R0","T_elim","R_v"
"direct",0,"R0 25th pct (2.0)",1.99157647802648,53.7254743685626,0.517809884286885
"direct",0,"R0 median (2.8)",2.80808526201542,84.1865775742908,0.730102168124009
"direct",0,"R0 75th pct (4.1)",4.12642819800479,Inf,1.07287133148125
"direct",0,"R0 90th pct (9.1)",9.1455004281937,Inf,2.37783011133036
"direct",0.025,"R0 25th pct (2.0)",1.99157647802648,52.6304634452344,0.504864637179713
"direct",0.025,"R0 median (2.8)",2.80808526201542,80.11833114562,0.711849613920909
"direct",0.025,"R0 75th pct (4.1)",4.12642819800479,Inf,1.04604954819421
"direct",0.025,"R0 90th pct (9.1)",9.1455004281937,Inf,2.3183843585471
"direct",0.05,"R0 25th pct (2.0)",1.99157647802648,51.5825194191834,0.491919390072541
"direct",0.05,"R0 median (2.8)",2.80808526201542,76.477044794478,0.693597059717809
"direct",0.05,"R0 75th pct (4.1)",4.12642819800479,Inf,1.01922776490718
"direct",0.05,"R0 90th pct (9.1)",9.1455004281937,Inf,2.25893860576384
"direct",0.075,"R0 25th pct (2.0)",1.99157647802648,50.5782174707495,0.478974142965368
"direct",0.075,"R0 median (2.8)",2.80808526201542,73.1958906121522,0.675344505514709
"direct",0.075,"R0 75th pct (4.1)",4.12642819800479,Inf,0.992405981620152
"direct",0.075,"R0 90th pct (9.1)",9.1455004281937,Inf,2.19949285298059
"direct",0.1,"R0 25th pct (2.0)",1.99157647802648,49.6144236914558,0.466028895858196
"direct",0.1,"R0 median (2.8)",2.80808526201542,70.2214467864383,0.657091951311608
"direct",0.1,"R0 75th pct (4.1)",4.12642819800479,Inf,0.965584198333121
"direct",0.1,"R0 90th pct (9.1)",9.1455004281937,Inf,2.14004710019733
"direct",0.125,"R0 25th pct (2.0)",1.99157647802648,48.6882613780188,0.453083648751024
"direct",0.125,"R0 median (2.8)",2.80808526201542,67.5104710206817,0.638839397108508
"direct",0.125,"R0 75th pct (4.1)",4.12642819800479,Inf,0.93876241504609
"direct",0.125,"R0 90th pct (9.1)",9.1455004281937,Inf,2.08060134741407
"direct",0.15,"R0 25th pct (2.0)",1.99157647802648,47.7970772459184,0.440138401643852
"direct",0.15,"R0 median (2.8)",2.80808526201542,65.0275569457918,0.620586842905408
"direct",0.15,"R0 75th pct (4.1)",4.12642819800479,195.740094586605,0.911940631759059
"direct",0.15,"R0 90th pct (9.1)",9.1455004281937,Inf,2.02115559463081
"direct",0.175,"R0 25th pct (2.0)",1.99157647802648,46.9384167002869,0.42719315453668
"direct",0.175,"R0 median (2.8)",2.80808526201542,62.7434104402083,0.602334288702308
"direct",0.175,"R0 75th pct (4.1)",4.12642819800479,160.443145644568,0.885118848472027
"direct",0.175,"R0 90th pct (9.1)",9.1455004281937,Inf,1.96170984184755
"direct",0.2,"R0 25th pct (2.0)",1.99157647802648,46.1100014711836,0.414247907429508
"direct",0.2,"R0 median (2.8)",2.80808526201542,60.6335665566005,0.584081734499207
"direct",0.2,"R0 75th pct (4.1)",4.12642819800479,137.039076786359,0.858297065184996
"direct",0.2,"R0 90th pct (9.1)",9.1455004281937,Inf,1.90226408906429
"direct",0.225,"R0 25th pct (2.0)",1.99157647802648,45.3097106172714,0.401302660322336
"direct",0.225,"R0 median (2.8)",2.80808526201542,58.6774055042176,0.565829180296107
"direct",0.225,"R0 75th pct (4.1)",4.12642819800479,120.264423969676,0.831475281897965
"direct",0.225,"R0 90th pct (9.1)",9.1455004281937,Inf,1.84281833628103
"direct",0.25,"R0 25th pct (2.0)",1.99157647802648,44.5355540816209,0.388357413215164
"direct",0.25,"R0 median (2.8)",2.80808526201542,56.8574098143213,0.547576626093007
"direct",0.25,"R0 75th pct (4.1)",4.12642819800479,107.587535685124,0.804653498610934
"direct",0.25,"R0 90th pct (9.1)",9.1455004281937,Inf,1.78337258349777
"direct",0.275,"R0 25th pct (2.0)",1.99157647802648,43.7856615966991,0.375412166107991
"direct",0.275,"R0 median (2.8)",2.80808526201542,55.1585754650268,0.529324071889907
"direct",0.275,"R0 75th pct (4.1)",4.12642819800479,97.63171411576,0.777831715323903
"direct",0.275,"R0 90th pct (9.1)",9.1455004281937,Inf,1.72392683071451
"direct",0.3,"R0 25th pct (2.0)",1.99157647802648,43.0582682538423,0.362466919000819
"direct",0.3,"R0 median (2.8)",2.80808526201542,53.5679555007013,0.511071517686806
"direct",0.3,"R0 75th pct (4.1)",4.12642819800479,89.5806869103184,0.751009932036872
"direct",0.3,"R0 90th pct (9.1)",9.1455004281937,Inf,1.66448107793125
"direct",0.325,"R0 25th pct (2.0)",1.99157647802648,42.3517012873029,0.349521671893647
"direct",0.325,"R0 median (2.8)",2.80808526201542,52.074295175504,0.492818963483706
"direct",0.325,"R0 75th pct (4.1)",4.12642819800479,82.9182160130222,0.724188148749841
"direct",0.325,"R0 90th pct (9.1)",9.1455004281937,Inf,1.605035325148
"direct",0.35,"R0 25th pct (2.0)",1.99157647802648,41.6643677940821,0.336576424786475
"direct",0.35,"R0 median (2.8)",2.80808526201542,50.6677405038428,0.474566409280606
"direct",0.35,"R0 75th pct (4.1)",4.12642819800479,77.3010422497383,0.69736636546281
"direct",0.35,"R0 90th pct (9.1)",9.1455004281937,Inf,1.54558957236474
