"regime","D","k","revacc","redose_V","tau_days","m","herd","R0","T_elim","share_calves_infected_before_onset_first5y"
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,0,1,"R0 median (2.8)",2.80808526201542,40.5714593654341,0
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,0,1,"R0 75th pct (4.1)",4.12642819800479,49.0597161459328,0
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,0,1,"R0 median (2.8)",2.80808526201542,40.1530668702323,0
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,0,1,"R0 75th pct (4.1)",4.12642819800479,49.5923798145144,0
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,15,1,"R0 median (2.8)",2.80808526201542,41.8485335167077,0.0144456928354863
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,15,1,"R0 75th pct (4.1)",4.12642819800479,52.1583882005614,0.0238662880237006
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,15,1,"R0 median (2.8)",2.80808526201542,41.4482550171599,0.0134832909462506
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,15,1,"R0 75th pct (4.1)",4.12642819800479,52.8377832642949,0.0229831969846428
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,30,1,"R0 median (2.8)",2.80808526201542,43.2063003095483,0.0282362542003123
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,30,1,"R0 75th pct (4.1)",4.12642819800479,55.6840586304398,0.0464219318666626
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,30,1,"R0 median (2.8)",2.80808526201542,42.8271007315583,0.0263499500186392
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,30,1,"R0 75th pct (4.1)",4.12642819800479,56.5417180811321,0.0447180266456413
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,45,1,"R0 median (2.8)",2.80808526201542,44.6511412325465,0.0413965341248991
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,45,1,"R0 75th pct (4.1)",4.12642819800479,59.724707076537,0.0677188928162059
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,45,1,"R0 median (2.8)",2.80808526201542,44.2967931701138,0.0386258485609633
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,45,1,"R0 75th pct (4.1)",4.12642819800479,60.8034663887769,0.0652561714618575
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,60,1,"R0 median (2.8)",2.80808526201542,46.1902213853997,0.0539530180439421
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,60,1,"R0 75th pct (4.1)",4.12642819800479,64.3968106904959,0.0878159193958189
