"outcome","parameter","prcc","lo","hi"
"T_elim","e_s",-0.157620454708566,-0.196118371887048,-0.125362841127591
"T_elim","e_i",-0.144920980532088,-0.178357579376272,-0.110778559927405
"T_elim","D",-0.228366245440368,-0.253464990718684,-0.202741503831398
"T_elim","p",-0.284471809863699,-0.310786511127828,-0.254547448463769
"R_v","e_s",-0.702446406263887,-0.716837464279722,-0.685283754923526
"R_v","e_i",-0.757655933696746,-0.77032425583529,-0.744316593296072
"R_v","D",-0.867727180474053,-0.878441308001654,-0.858807111992469
"R_v","p",-0.914684889972945,-0.920982569671799,-0.907476199633159
"log10_prev50","e_s",-0.809738039818549,-0.822023324434837,-0.798741576834941
"log10_prev50","e_i",-0.769034623582786,-0.781616319353272,-0.756725091318371
"log10_prev50","D",-0.794734114078288,-0.812173445241686,-0.781277306996588
"log10_prev50","p",-0.905272807778529,-0.913024903797315,-0.897685734673417
