"NA_adults","R0","policy","h","pi_src","programme","p","interval","yr","p_free","prev_med","prev_q25","prev_q75","prev_mean"
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.00273972602739726,0.03,0.6,0.444444444444444,0.7,0.563973531819731
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.0849315068493151,0.025,0.6,0.444444444444444,0.7,0.567440027777162
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.167123287671233,0.025,0.588235294117647,0.444444444444444,0.7,0.559257916566458
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.249315068493151,0.025,0.583333333333333,0.454545454545455,0.714285714285714,0.561578616184917
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.331506849315069,0.025,0.581140350877193,0.453409090909091,0.714285714285714,0.560049287022429
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.413698630136986,0.02,0.571428571428571,0.448051948051948,0.701470588235294,0.558602919600403
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.495890410958904,0.03,0.571428571428571,0.453409090909091,0.692307692307692,0.556178217461028
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.578082191780822,0.025,0.583333333333333,0.461538461538462,0.716269841269841,0.561966704374146
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.66027397260274,0.025,0.581140350877193,0.453409090909091,0.68421052631579,0.557517554887355
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.742465753424657,0.015,0.578947368421053,0.452020202020202,0.669642857142857,0.556412544580286
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.824657534246575,0.02,0.566392479435958,0.416666666666667,0.6875,0.549431967249648
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.906849315068493,0.02,0.575187969924812,0.415441176470588,0.678928571428571,0.5496750792868
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,0.989041095890411,0.02,0.56125,0.415948275862069,0.688701923076923,0.549072591578067
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.07123287671233,0.02,0.552777777777778,0.428571428571429,0.694230769230769,0.546055237054123
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.15342465753425,0.025,0.533333333333333,0.411764705882353,0.690318302387268,0.537943882768589
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.23561643835616,0.025,0.538461538461538,0.415441176470588,0.666666666666667,0.535106104663826
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.31780821917808,0.03,0.533333333333333,0.415441176470588,0.666666666666667,0.528612427842898
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.4,0.03,0.538461538461538,0.408823529411765,0.666666666666667,0.527586137435456
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.48219178082192,0.035,0.533333333333333,0.4,0.666666666666667,0.522435120700101
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.56438356164384,0.035,0.523809523809524,0.4,0.666666666666667,0.521674666547708
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.64657534246575,0.035,0.5,0.409722222222222,0.666666666666667,0.514802823059077
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.72876712328767,0.035,0.5,0.4,0.647058823529412,0.50876681590083
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.81095890410959,0.035,0.5,0.383699633699634,0.647058823529412,0.504502299726402
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.89315068493151,0.035,0.5,0.384615384615385,0.625,0.501436388916238
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,1.97534246575342,0.035,0.5,0.383699633699634,0.626644736842105,0.500913587942338
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.05753424657534,0.035,0.5,0.375,0.625,0.493747487261571
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.13972602739726,0.035,0.5,0.375,0.625,0.492723493601682
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.22191780821918,0.04,0.5,0.375,0.615384615384615,0.491042124490514
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.3041095890411,0.04,0.5,0.373355263157895,0.602777777777778,0.485733829641901
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.38630136986301,0.04,0.473684210526316,0.373355263157895,0.6,0.483169391788994
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.46849315068493,0.04,0.470588235294118,0.362012987012987,0.6,0.475262533033318
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.55068493150685,0.035,0.467708333333333,0.357142857142857,0.591176470588235,0.472201326266332
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.63287671232877,0.04,0.461538461538462,0.367224880382775,0.588235294117647,0.466360553841053
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.71506849315068,0.04,0.461538461538462,0.36096256684492,0.584558823529412,0.462376451601433
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.7972602739726,0.04,0.444444444444444,0.333333333333333,0.573308270676692,0.456488868946303
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.87945205479452,0.04,0.444444444444444,0.333333333333333,0.563179347826087,0.448546078354376
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,2.96164383561644,0.04,0.4375,0.333333333333333,0.560625,0.442911932084567
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.04383561643836,0.04,0.444444444444444,0.333333333333333,0.555555555555556,0.440785905021023
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.12602739726027,0.045,0.43875,0.305769230769231,0.551388888888889,0.435425691382255
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.20821917808219,0.045,0.440972222222222,0.305769230769231,0.55,0.430111180929319
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.29041095890411,0.045,0.428571428571429,0.305769230769231,0.545454545454545,0.424608960425403
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.37260273972603,0.045,0.415229885057471,0.285714285714286,0.531674208144796,0.418666800264775
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.45479452054795,0.04,0.416666666666667,0.285714285714286,0.530987394957983,0.418251519301763
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.53698630136986,0.04,0.41421568627451,0.277777777777778,0.530392156862745,0.418607039096115
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.61917808219178,0.035,0.41421568627451,0.272727272727273,0.533333333333333,0.415639980136668
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.7013698630137,0.04,0.416666666666667,0.271212121212121,0.527089783281734,0.413387787969781
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.78356164383562,0.04,0.416666666666667,0.271212121212121,0.526315789473684,0.410958077367022
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.86575342465753,0.04,0.4,0.272727272727273,0.530392156862745,0.406893478905503
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,3.94794520547945,0.04,0.4,0.272727272727273,0.522883295194508,0.405894370971816
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.03013698630137,0.035,0.4,0.276515151515151,0.527089783281734,0.405261765256071
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.11232876712329,0.035,0.4,0.266666666666667,0.530392156862745,0.403171648794753
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.19452054794521,0.045,0.4,0.25,0.518518518518518,0.398871253865726
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.27671232876712,0.045,0.4,0.25,0.5,0.39057087314612
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.35890410958904,0.05,0.388888888888889,0.25,0.5,0.387370623612113
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.44109589041096,0.05,0.384615384615385,0.263157894736842,0.5,0.38755714106084
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.52328767123288,0.05,0.375,0.259868421052632,0.5,0.381686399415456
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.60547945205479,0.05,0.363636363636364,0.25,0.5,0.378910126790761
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.68767123287671,0.045,0.363636363636364,0.25,0.5,0.377657485206109
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.76986301369863,0.04,0.357142857142857,0.25,0.5,0.376917434169683
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.85205479452055,0.04,0.363636363636364,0.25,0.5,0.381630135514221
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,4.93424657534247,0.04,0.362781954887218,0.25,0.5,0.377181554894404
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.01643835616438,0.04,0.362781954887218,0.25,0.5,0.378491145717884
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.0986301369863,0.045,0.362781954887218,0.25,0.5,0.376613218824252
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.18082191780822,0.045,0.357142857142857,0.25,0.5,0.373270466702571
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.26301369863014,0.05,0.363636363636364,0.25,0.5,0.37259682203295
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.34520547945205,0.05,0.363636363636364,0.25,0.5,0.369149161070996
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.42739726027397,0.06,0.363636363636364,0.25,0.482142857142857,0.363480304324408
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.50958904109589,0.06,0.346875,0.235294117647059,0.476708074534161,0.355732647993717
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.59178082191781,0.065,0.346875,0.234162895927602,0.466666666666667,0.353980413982565
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.67397260273973,0.06,0.33974358974359,0.230769230769231,0.456293706293706,0.351881499492398
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.75616438356164,0.055,0.351648351648352,0.230769230769231,0.461538461538462,0.353601239656556
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.83835616438356,0.065,0.339080459770115,0.230769230769231,0.456293706293706,0.350315425346068
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,5.92054794520548,0.065,0.333333333333333,0.228632478632479,0.461538461538462,0.35001464883389
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.0027397260274,0.065,0.333333333333333,0.230769230769231,0.461538461538462,0.346585238714355
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.08493150684932,0.065,0.333333333333333,0.228632478632479,0.466666666666667,0.344701863307535
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.16712328767123,0.065,0.333333333333333,0.228632478632479,0.461538461538462,0.342034343436477
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.24931506849315,0.06,0.333333333333333,0.214285714285714,0.461538461538462,0.341625419171584
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.33150684931507,0.055,0.333333333333333,0.210714285714286,0.451136363636364,0.337697542360683
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.41369863013699,0.055,0.333333333333333,0.224025974025974,0.461538461538462,0.337786389015585
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.4958904109589,0.055,0.333333333333333,0.230769230769231,0.462820512820513,0.339027999963659
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.57808219178082,0.055,0.333333333333333,0.214285714285714,0.468421052631579,0.337241520199354
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.66027397260274,0.05,0.333333333333333,0.207894736842105,0.456293706293706,0.335152529714298
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.74246575342466,0.045,0.333333333333333,0.214285714285714,0.444444444444444,0.331251861570944
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.82465753424658,0.05,0.325757575757576,0.209090909090909,0.44,0.32829623982907
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.90684931506849,0.045,0.3,0.204411764705882,0.446969696969697,0.325917053949264
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,6.98904109589041,0.05,0.307692307692308,0.2,0.441111111111111,0.326966904670272
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.07123287671233,0.05,0.310096153846154,0.198076923076923,0.428571428571429,0.326097602182644
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.15342465753425,0.05,0.307692307692308,0.2,0.430803571428571,0.325064843153026
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.23561643835616,0.05,0.307692307692308,0.20625,0.430124223602484,0.32288729735586
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.31780821917808,0.05,0.307692307692308,0.196875,0.4375,0.320611900310761
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.4,0.045,0.3,0.2,0.435461956521739,0.318295586817936
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.48219178082192,0.045,0.3,0.2,0.428571428571429,0.315952365777817
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.56438356164384,0.045,0.292892156862745,0.2,0.428571428571429,0.316077921156306
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.64657534246575,0.05,0.294117647058824,0.181818181818182,0.417763157894737,0.311826136166502
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.72876712328767,0.05,0.285714285714286,0.1875,0.428571428571429,0.307582623657445
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.81095890410959,0.05,0.285714285714286,0.18048128342246,0.416666666666667,0.303684588264183
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.89315068493151,0.05,0.285714285714286,0.166666666666667,0.416666666666667,0.30017576779553
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,7.97534246575342,0.06,0.272727272727273,0.166666666666667,0.4,0.293494789721037
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,8.05753424657534,0.06,0.272727272727273,0.166666666666667,0.4,0.292557800801385
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,8.13972602739726,0.055,0.272727272727273,0.166666666666667,0.412990196078431,0.291955699974725
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,8.22191780821918,0.055,0.272727272727273,0.166666666666667,0.401851851851852,0.290119549718739
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,8.3041095890411,0.055,0.272727272727273,0.166666666666667,0.4,0.292132144774319
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,8.38630136986301,0.06,0.277777777777778,0.166666666666667,0.402941176470588,0.289245384920801
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,8.46849315068493,0.065,0.266666666666667,0.153846153846154,0.414592760180996,0.285187822539941
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,8.55068493150685,0.065,0.264912280701754,0.153846153846154,0.4,0.281486986394388
5,3,"All purchased, source 20%",0,0.2,"18-month immunity, annual whole-herd booster",1,1,8.63287671232877,0.06,0.264912280701754,0.165,0.4,0.280950625585322
