"strategy","revacc","redose_V","shape","k","D","herd","R0","T_elim"
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.25,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.25,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.5,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.75,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.75,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.75,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.75,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,"R0 25th pct (2.0)",1.99157647802648,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,"R0 90th pct (9.1)",9.1455004281937,Inf
