"strategy","revacc","redose_V","shape","k","D","share_herds_free_50y","pop_prev_50y"
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.25,0,0.579715668681509
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,0,0.498910874364988
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,0,0.498910874364988
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,0,0.57649225192692
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.25,0,0.492093007320297
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,0,0.485671460246721
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.5,0,0.536838773889797
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,0,0.385234705914124
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,0,0.385234705914124
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,0,0.526944830591421
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,0,0.344587643600872
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,0,0.319154485312999
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.75,0,0.50050593501433
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,0,0.308960491365676
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,0,0.308960491365676
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.75,0,0.48243449345545
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.75,0.0526315789473684,0.231936385820572
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.75,0.140350877192982,0.172304279945013
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1,0,0.4689773472465
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,0.0350877192982456,0.257509184022163
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1,0.0350877192982456,0.257509184022163
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,0,0.442085539833836
