"strategy","revacc","redose_V","shape","k","D","median_T","q25","q75","share_eliminated_50y","share_eliminated_200y"
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,0.5,Inf,Inf,Inf,0,0.00333333333333333
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,182.591780821918,94.1123287671233,Inf,0.1,0.526666666666667
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,197.304109589041,103.317808219178,Inf,0.1,0.506666666666667
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,Inf,Inf,Inf,0,0.00333333333333333
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,0.5,100.646575342466,55.4616438356164,178.091780821918,0.21,0.8
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,74.5506849315069,48.2493150684931,136.995890410959,0.28,0.876666666666667
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1,Inf,Inf,Inf,0.00333333333333333,0.0466666666666667
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,47.0986301369863,32.8794520547945,74.7767123287671,0.55,0.993333333333333
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1,44.1808219178082,31.7082191780822,67.7287671232877,0.576666666666667,0.996666666666667
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,Inf,Inf,Inf,0.0166666666666667,0.0766666666666667
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,35.5917808219178,26.2013698630137,50.6123287671233,0.743333333333333,1
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,24.2082191780822,19.7698630136986,29.8794520547945,0.993333333333333,1
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.5,Inf,Inf,Inf,0.02,0.16
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,33.4958904109589,24.4753424657534,44.9821917808219,0.813333333333333,1
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.5,34.3178082191781,25.7904109589041,45.5575342465753,0.81,1
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.5,Inf,195.619178082192,Inf,0.08,0.263333333333333
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.5,29.3041095890411,23.3041095890411,39.9068493150685,0.883333333333333,1
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.5,21.3315068493151,18.0849315068493,26.4684931506849,0.99,1
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,2,Inf,132.701369863014,Inf,0.0733333333333333,0.35
