"strategy","revacc","redose_V","shape","k","D","f_bar","label","R0","Rv_bar"
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,0.257680093426305,"R0 25th pct (2.0)",1.99157647802648,1.53442717083423
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,0.257680093426305,"R0 75th pct (4.1)",4.12642819800479,3.17924198009678
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,0.257680093426305,"R0 90th pct (9.1)",9.1455004281937,7.04622920722702
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.25,0.257680093426305,"R0 median (2.8)",2.80808526201542,2.16351336320529
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,0.448006225506149,"R0 25th pct (2.0)",1.99157647802648,1.19677027905045
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,0.448006225506149,"R0 75th pct (4.1)",4.12642819800479,2.47963695117621
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,0.448006225506149,"R0 90th pct (9.1)",9.1455004281937,5.49567803208401
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.5,0.448006225506149,"R0 median (2.8)",2.80808526201542,1.68742351584199
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,0.566673982107109,"R0 25th pct (2.0)",1.99157647802648,0.986242247975737
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,0.566673982107109,"R0 75th pct (4.1)",4.12642819800479,2.04343537243595
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,0.566673982107109,"R0 90th pct (9.1)",9.1455004281937,4.52891415453085
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,0.75,0.566673982107109,"R0 median (2.8)",2.80808526201542,1.39058296373432
