"parameter","first","first_lo","first_hi","total","total_lo","total_hi","outcome"
"e_s",-0.0300421979347893,-0.14504470653741,0.107800204294994,0.309818130351054,0.262174976611145,0.353532840826694,"T_elim (median herd)"
"e_i",-0.0164208494648438,-0.119007376053465,0.120564998997755,0.379107803131604,0.319057098428517,0.432955604712942,"T_elim (median herd)"
"D",-0.0284800270821018,-0.172405495588682,0.0946889493507838,0.710841423968337,0.621940283793938,0.790629194047316,"T_elim (median herd)"
"p",0.0463721858474705,-0.0874897381316359,0.211048714604065,0.870846302221863,0.786120182267419,0.950243371838785,"T_elim (median herd)"
"e_s",0.0685752014870904,0.00335852382510027,0.163937375468082,0.216848958798372,0.186682324625447,0.237898157041124,"log10 prevalence at year 50 (median herd)"
"e_i",0.074419891090624,0.000212765158115691,0.162964182180047,0.214473231457911,0.189974461927228,0.239132542028013,"log10 prevalence at year 50 (median herd)"
"D",0.120133599623322,0.0270779338035005,0.21485559681942,0.435084052742128,0.398372152446971,0.472148941981904,"log10 prevalence at year 50 (median herd)"
"p",0.279199293910209,0.196436570256158,0.361456999513984,0.640200450061807,0.590057119489005,0.691790573673826,"log10 prevalence at year 50 (median herd)"
"e_s",0.041753990063008,-0.0294559699477397,0.112177657835683,0.162360799176738,0.140004257419675,0.186677031594595,"T_elim with herd R0 as a factor"
"e_i",0.0326921088012938,-0.0302308127940567,0.111486439123458,0.20094219580024,0.169485737204271,0.226653750026993,"T_elim with herd R0 as a factor"
"D",0.0686847292585952,-0.00179574684396488,0.144801853709381,0.38098879918921,0.33708839716347,0.420149978521173,"T_elim with herd R0 as a factor"
"p",0.102725705341059,0.0248863991039228,0.193523343738681,0.497396603603907,0.44779344496597,0.541259658495293,"T_elim with herd R0 as a factor"
"R0",0.236553671694159,0.169849243197524,0.316831220969167,0.787211484261884,0.719204770156055,0.839828078138293,"T_elim with herd R0 as a factor"
