"R0","N","schedule","p_free_10y","p_free_20y","p_free_50y","p_free_100y","median_T","Rv"
1.2,5,"No vaccination (status quo)",0.77,0.92,0.995,1,3.20821917808219,1.2
1.5,5,"No vaccination (status quo)",0.625,0.855,0.995,1,7.07123287671233,1.5
2,5,"No vaccination (status quo)",0.44,0.74,0.95,0.995,11.9616438356164,2
3,5,"No vaccination (status quo)",0.34,0.555,0.83,0.985,16.9753424657534,3
5,5,"No vaccination (status quo)",0.14,0.37,0.665,0.935,32.5506849315069,5
8,5,"No vaccination (status quo)",0.13,0.24,0.55,0.81,43.5232876712329,8
1.2,10,"No vaccination (status quo)",0.515,0.74,0.97,1,9.20821917808219,1.2
1.5,10,"No vaccination (status quo)",0.29,0.55,0.88,1,17.9616438356164,1.5
2,10,"No vaccination (status quo)",0.175,0.345,0.69,0.895,29.386301369863,2
3,10,"No vaccination (status quo)",0.04,0.14,0.3,0.615,76.4821917808219,3
5,10,"No vaccination (status quo)",0.02,0.04,0.08,0.17,Inf,5
8,10,"No vaccination (status quo)",0.01,0.03,0.07,0.11,Inf,8
1.2,20,"No vaccination (status quo)",0.395,0.585,0.89,1,13.7287671232877,1.2
1.5,20,"No vaccination (status quo)",0.055,0.23,0.6,0.855,37.9753424657534,1.5
2,20,"No vaccination (status quo)",0.01,0.05,0.205,0.425,Inf,2
3,20,"No vaccination (status quo)",0,0,0.01,0.02,Inf,3
5,20,"No vaccination (status quo)",0,0,0,0,Inf,5
8,20,"No vaccination (status quo)",0,0,0,0,Inf,8
1.2,50,"No vaccination (status quo)",0.055,0.215,0.6,0.79,42.4958904109589,1.2
1.5,50,"No vaccination (status quo)",0.005,0.03,0.115,0.22,Inf,1.5
2,50,"No vaccination (status quo)",0,0,0,0,Inf,2
3,50,"No vaccination (status quo)",0,0,0,0,Inf,3
5,50,"No vaccination (status quo)",0,0,0,0,Inf,5
8,50,"No vaccination (status quo)",0,0,0,0,Inf,8
1.2,100,"No vaccination (status quo)",0,0.025,0.21,0.45,Inf,1.2
1.5,100,"No vaccination (status quo)",0,0,0,0.005,Inf,1.5
2,100,"No vaccination (status quo)",0,0,0,0,Inf,2
3,100,"No vaccination (status quo)",0,0,0,0,Inf,3
5,100,"No vaccination (status quo)",0,0,0,0,Inf,5
8,100,"No vaccination (status quo)",0,0,0,0,Inf,8
1.2,200,"No vaccination (status quo)",0,0,0.025,0.09,Inf,1.2
1.5,200,"No vaccination (status quo)",0,0,0,0,Inf,1.5
2,200,"No vaccination (status quo)",0,0,0,0,Inf,2
3,200,"No vaccination (status quo)",0,0,0,0,Inf,3
5,200,"No vaccination (status quo)",0,0,0,0,Inf,5
8,200,"No vaccination (status quo)",0,0,0,0,Inf,8
1.2,5,"Lifelong immunity, calves only (paper assumption)",0.88,0.975,1,1,3.41369863013699,0.13104
1.5,5,"Lifelong immunity, calves only (paper assumption)",0.81,0.98,1,1,6.12602739726027,0.1638
