"R0","N","p_free_20y","p_free_50y"
1.2,5,0.94,1
1.5,5,0.805,0.99
2,5,0.715,0.94
3,5,0.49,0.855
5,5,0.375,0.7
8,5,0.22,0.515
1.2,10,0.715,0.95
1.5,10,0.61,0.92
2,10,0.35,0.68
3,10,0.15,0.345
5,10,0.045,0.135
8,10,0,0.025
1.2,20,0.635,0.925
1.5,20,0.215,0.595
2,20,0.03,0.195
3,20,0,0.005
5,20,0,0
8,20,0,0
1.2,50,0.235,0.525
1.5,50,0.025,0.075
2,50,0,0
3,50,0,0
5,50,0,0
8,50,0,0
1.2,100,0.03,0.18
1.5,100,0,0.005
2,100,0,0
3,100,0,0
5,100,0,0
8,100,0,0
1.2,200,0,0.015
1.5,200,0,0
2,200,0,0
3,200,0,0
5,200,0,0
8,200,0,0
