"parameter","value","median_T","q25","q75","share_eliminated_50y","share_eliminated_200y","deterministic_T"
"direct",0,34.7698630136986,27.6191780821918,40.9342465753425,0.893333333333333,1,84.186577575938
"direct",0.1,30.5369863013699,24.8246575342466,38.858904109589,0.926666666666667,1,70.2214467863894
"direct",0.2,29.3452054794521,23.427397260274,36.6602739726027,0.926666666666667,1,60.6335665567414
"direct",0.3,27.5780821917808,23.0986301369863,33.5575342465753,0.963333333333333,1,53.5679555017134
"direct",0.4,25.3178082191781,21.0438356164384,30.8452054794521,0.983333333333333,1,48.0821640256296
"direct",0.5,24.372602739726,19.6876712328767,29.5301369863014,0.99,1,43.6308988467021
"direct",0.6,21.5780821917808,17.8178082191781,26.3041095890411,0.996666666666667,1,39.8572722775825
"direct",0.7,20.9616438356164,16.6054794520548,26.0164383561644,1,1,36.4893284016724
"direct",0.8,19.0712328767123,15.6191780821918,23.386301369863,0.993333333333333,1,33.2634677221762
"direct",0.9,17.3041095890411,14.6123287671233,21.9684931506849,1,1,29.8009923457856
"indirect",0,50.427397260274,33.1260273972603,74.8178082191781,0.496666666666667,0.993333333333333,Inf
"indirect",0.1,43.6876712328767,31.2972602739726,62.1191780821918,0.6,0.996666666666667,Inf
"indirect",0.2,38.2630136986301,27.7630136986301,52.6465753424658,0.71,1,Inf
"indirect",0.3,30.7835616438356,24.927397260274,42.5369863013699,0.863333333333333,1,111.032733607544
"indirect",0.4,27.9068493150685,21.4342465753425,37.1739726027397,0.936666666666667,1,74.4829058294071
"indirect",0.5,26.3041095890411,20.8794520547945,33.4547945205479,0.983333333333333,1,57.7895314723498
"indirect",0.6,24.7424657534247,20.9205479452055,30.0849315068493,0.983333333333333,1,48.3181071588256
"indirect",0.7,23.2630136986301,19.0712328767123,27.5986301369863,0.996666666666667,1,42.3510698278336
"indirect",0.8,21.8657534246575,17.6739726027397,27.0438356164384,0.996666666666667,1,38.3627260816671
"indirect",0.9,21.5780821917808,17.9205479452055,26.1602739726027,1,1,35.5907474540861
"duration",2,Inf,159.968493150685,Inf,0.08,0.316666666666667,Inf
"duration",3,96.9068493150685,52.7698630136986,175.132876712329,0.236666666666667,0.806666666666667,Inf
"duration",5,45.2904109589041,28.5849315068493,72.3931506849315,0.576666666666667,0.993333333333333,Inf
"duration",7,37.1534246575342,28.0917808219178,53.2013698630137,0.726666666666667,1,Inf
"duration",10,30.9890410958904,22.7493150684931,40.954794520548,0.846666666666667,1,Inf
"duration",15,28.3178082191781,21.5369863013699,35.3452054794521,0.946666666666667,1,90.5057041335589
"duration",20,25.9753424657534,21.1671232876712,33.7630136986301,0.966666666666667,1,67.4957461635914
"duration",30,24.8246575342466,20.2219178082192,30.2698630136986,0.98,1,54.4250442452806
"duration",Inf,23.2219178082192,18.4958904109589,27.372602739726,0.99,1,40.5714593702681
"coverage",0.4,Inf,119.119178082192,Inf,0.04,0.38,Inf
"coverage",0.5,104.838356164384,59.5301369863014,171.372602739726,0.173333333333333,0.796666666666667,Inf
"coverage",0.6,49.0712328767123,33.9479452054794,72.1876712328767,0.52,0.996666666666667,Inf
"coverage",0.7,36.6191780821918,27.4958904109589,49.6054794520548,0.756666666666667,1,Inf
"coverage",0.8,30.0849315068493,23.1808219178082,36.5780821917808,0.916666666666667,1,99.0933605047257
"coverage",0.9,26.1397260273973,21.1671232876712,32.1602739726027,0.973333333333333,1,54.2615244959064
"coverage",1,22.6054794520548,18.3931506849315,27.2082191780822,0.996666666666667,1,40.5714593702681
