"herd","median_T","share_50y","share_200y","R0","herdsize"
1,Inf,0,0,17.284324527599,88
2,51.5369863013699,0.47,1,8.9034381039005,70
3,17.2630136986301,0.99,1,1.81601528987839,28
4,17.0164383561644,1,1,2.42143338750787,24
5,24.9890410958904,0.99,1,3.21094269510801,65
6,22.8931506849315,0.99,1,4.01968050734465,25
7,95.1397260273973,0.21,0.87,11.6794976842128,46
8,19.8520547945205,1,1,3.56038212976531,24
9,26.6328767123288,1,1,2.80808526201542,94
10,17.8794520547945,1,1,2.63458714146708,28
11,17.0164383561644,1,1,2.29807605360181,21
12,32.3452054794521,0.9,1,6.57585527114465,40
13,19.8109589041096,1,1,2.80840196290135,30
14,17.1808219178082,1,1,1.99157647802648,25
15,18.2082191780822,1,1,2.51250253777869,26
16,18.9479452054795,1,1,2.6389903119187,27
17,19.0712328767123,1,1,2.47968251043602,26
18,21.7835616438356,0.98,1,3.20775771075188,27
19,27.1671232876712,0.99,1,2.9902209935439,100
20,23.2219178082192,0.99,1,4.12642819800479,30
21,20.0164383561644,1,1,2.98780123575453,22
22,18.0027397260274,0.99,1,1.87408983669728,34
23,23.1397260273973,1,1,1.80650335676745,86
24,20.386301369863,0.99,1,3.35321374369012,22
25,22.1123287671233,1,1,2.30690089436912,57
26,24.0027397260274,1,1,2.56126152987727,61
27,18.0438356164384,1,1,1.93968237413902,31
28,25.1534246575342,1,1,3.73823348956363,44
29,17.3041095890411,1,1,2.47245541179985,25
30,Inf,0,0.21,12.5737884370904,86
31,22.6054794520548,0.99,1,1.70261443193577,91
32,32.2219178082192,0.98,1,3.46605786835941,146
33,24.372602739726,1,1,1.9928515054906,100
34,26.7150684931507,0.96,1,5.64116728255052,30
35,22.1123287671233,1,1,1.46700781828546,107
36,27.0849315068493,1,1,2.97690742109629,104
37,20.5095890410959,1,1,1.36979864723995,113
38,23.7150684931507,1,1,1.68332162810817,111
39,21.2904109589041,1,1,1.89972791899705,64
40,21.8246575342466,1,1,2.71144188193868,40
41,18.0027397260274,1,1,1.8274167455383,36
42,20.0575342465753,1,1,1.669476115174,51
43,23.8383561643836,0.98,1,5.06283519497494,23
44,22.8931506849315,0.99,1,1.8993897033324,84
45,23.2630136986301,1,1,1.87890737393822,85
46,37.8931506849315,0.85,1,5.14276878165897,98
47,28.3178082191781,0.86,1,7.8287301315146,26
48,18.2493150684932,0.99,1,1.2892484110414,86
49,Inf,0,0,17.181742831803,78
50,88.5232876712329,0.13,0.93,10.8425585573634,72
51,44.3452054794521,0.72,1,6.19609402187067,131
52,77.0986301369863,0.11,0.96,9.5085939146335,124
53,21.2082191780822,1,1,2.41802630625946,37
54,17.5506849315069,1,1,2.99835871140646,25
55,27.2082191780822,0.99,1,3.01589722909844,95
56,21.5780821917808,0.99,1,4.95747225864381,22
57,17.6739726027397,1,1,2.06588458733001,28
