"cell","schedule","yr","p_free"
"5 head, R0 2","No vaccination (status quo)",0,0
"5 head, R0 2","No vaccination (status quo)",1,0.00333333333333333
"5 head, R0 2","No vaccination (status quo)",2,0.0533333333333333
"5 head, R0 2","No vaccination (status quo)",3,0.103333333333333
"5 head, R0 2","No vaccination (status quo)",4,0.163333333333333
"5 head, R0 2","No vaccination (status quo)",5,0.216666666666667
"5 head, R0 2","No vaccination (status quo)",6,0.28
"5 head, R0 2","No vaccination (status quo)",7,0.326666666666667
"5 head, R0 2","No vaccination (status quo)",8,0.37
"5 head, R0 2","No vaccination (status quo)",9,0.4
"5 head, R0 2","No vaccination (status quo)",10,0.433333333333333
"5 head, R0 2","No vaccination (status quo)",11,0.466666666666667
"5 head, R0 2","No vaccination (status quo)",12,0.503333333333333
"5 head, R0 2","No vaccination (status quo)",13,0.546666666666667
"5 head, R0 2","No vaccination (status quo)",14,0.573333333333333
"5 head, R0 2","No vaccination (status quo)",15,0.593333333333333
"5 head, R0 2","No vaccination (status quo)",16,0.62
"5 head, R0 2","No vaccination (status quo)",17,0.65
"5 head, R0 2","No vaccination (status quo)",18,0.666666666666667
"5 head, R0 2","No vaccination (status quo)",19,0.676666666666667
"5 head, R0 2","No vaccination (status quo)",20,0.686666666666667
"5 head, R0 2","No vaccination (status quo)",21,0.71
"5 head, R0 2","No vaccination (status quo)",22,0.723333333333333
"5 head, R0 2","No vaccination (status quo)",23,0.733333333333333
"5 head, R0 2","No vaccination (status quo)",24,0.756666666666667
"5 head, R0 2","No vaccination (status quo)",25,0.766666666666667
"5 head, R0 2","No vaccination (status quo)",26,0.78
"5 head, R0 2","No vaccination (status quo)",27,0.78
"5 head, R0 2","No vaccination (status quo)",28,0.783333333333333
"5 head, R0 2","No vaccination (status quo)",29,0.8
"5 head, R0 2","No vaccination (status quo)",30,0.81
"5 head, R0 2","No vaccination (status quo)",31,0.82
"5 head, R0 2","No vaccination (status quo)",32,0.84
"5 head, R0 2","No vaccination (status quo)",33,0.856666666666667
"5 head, R0 2","No vaccination (status quo)",34,0.863333333333333
"5 head, R0 2","No vaccination (status quo)",35,0.87
"5 head, R0 2","No vaccination (status quo)",36,0.886666666666667
"5 head, R0 2","No vaccination (status quo)",37,0.886666666666667
"5 head, R0 2","No vaccination (status quo)",38,0.896666666666667
"5 head, R0 2","No vaccination (status quo)",39,0.91
"5 head, R0 2","No vaccination (status quo)",40,0.913333333333333
"5 head, R0 2","No vaccination (status quo)",41,0.916666666666667
"5 head, R0 2","No vaccination (status quo)",42,0.92
"5 head, R0 2","No vaccination (status quo)",43,0.92
"5 head, R0 2","No vaccination (status quo)",44,0.923333333333333
"5 head, R0 2","No vaccination (status quo)",45,0.923333333333333
"5 head, R0 2","No vaccination (status quo)",46,0.926666666666667
"5 head, R0 2","No vaccination (status quo)",47,0.93
"5 head, R0 2","No vaccination (status quo)",48,0.936666666666667
"5 head, R0 2","No vaccination (status quo)",49,0.936666666666667
"5 head, R0 2","No vaccination (status quo)",50,0.943333333333333
"5 head, R0 2","No vaccination (status quo)",51,0.946666666666667
"5 head, R0 2","No vaccination (status quo)",52,0.953333333333333
"5 head, R0 2","No vaccination (status quo)",53,0.953333333333333
"5 head, R0 2","No vaccination (status quo)",54,0.956666666666667
"5 head, R0 2","No vaccination (status quo)",55,0.96
"5 head, R0 2","No vaccination (status quo)",56,0.963333333333333
"5 head, R0 2","No vaccination (status quo)",57,0.966666666666667
"5 head, R0 2","No vaccination (status quo)",58,0.966666666666667
"5 head, R0 2","No vaccination (status quo)",59,0.97
"5 head, R0 2","No vaccination (status quo)",60,0.973333333333333
"5 head, R0 2","Lifelong immunity, calves only (paper assumption)",0,0
"5 head, R0 2","Lifelong immunity, calves only (paper assumption)",1,0.00666666666666667
"5 head, R0 2","Lifelong immunity, calves only (paper assumption)",2,0.03
"5 head, R0 2","Lifelong immunity, calves only (paper assumption)",3,0.0866666666666667
"5 head, R0 2","Lifelong immunity, calves only (paper assumption)",4,0.143333333333333
"5 head, R0 2","Lifelong immunity, calves only (paper assumption)",5,0.21
